Genes	log2FoldChange	pvalue
FTO	-0.53370391	0.057813108
LOC123334674	2.052250186	0.057867191
LOC123332569	-2.805736856	0.057885086
LOC102410717	0.905813234	0.057883001
IFI35	1.308733111	0.057945158
LOC102390397	1.992945757	0.05794855
LOC112586864	-3.612095241	0.057946559
LOC112579917	-1.169014826	0.057941765
LOC102414060	-4.361782057	0.057960008
WDR12	-0.5934892	0.05802836
CAPN5	-0.677135199	0.058112472
LOC123332682	4.55915162	0.058128604
C2CD2L	0.670146718	0.058189361
HEXD	-1.069010675	0.058205221
MIGA2	-0.656349844	0.058236168
FIZ1	0.99453876	0.058242789
LOC123328106	3.495077993	0.058258377
LOC112585053	-1.223478589	0.058275969
SYT5	-1.376382904	0.058316866
LOC102392359	0.879071696	0.058417952
ARHGEF17	1.203568356	0.058444871
TP53RK	-0.945815248	0.058483656
PRDX2	-0.837081365	0.058511633
SLC16A5	1.221914412	0.058556361
DTX3	1.11157879	0.058556228
LOC123333691	1.987923184	0.058569575
LOC123328043	-3.569971769	0.058573322
PUS10	-1.022038106	0.058629865
ANXA1	0.844361146	0.058654365
LOC112585344	1.204164018	0.058696835
LOC112585162	2.71390718	0.058714753
MMP17	3.133908011	0.058751559
CLDN23	0.611916764	0.058765501
NDN	1.737506999	0.058889026
CCDC174	0.606373605	0.058957733
TLE3	-0.602074302	0.058987442
LOC102402312	2.017628672	0.059016344
CATSPERD	2.479294411	0.059035814
MXRA5	-1.268094587	0.059112777
FRZB	-1.364632403	0.059125166
NUDT13	-1.413816491	0.059158323
ACBD6	0.878759337	0.059196757
EDNRB	-0.631172819	0.059204348
SLF1	-0.658111969	0.059228447
FAM163A	1.031974137	0.059240245
RPP14	-0.738297674	0.05925127
RNF14	-0.548420057	0.059351611
TBC1D22A	0.673349185	0.059400798
ATXN7L2	1.166524748	0.059419505
PPP1R21	-0.570227729	0.059414501
MYBPC2	2.664022314	0.059446974
RGS10	1.367833779	0.059455112
LOC123331692	-2.488305177	0.059501917
INO80C	0.840495567	0.0595202
KIAA1614	1.321432419	0.059558725
ST6GAL2	3.91298854	0.059580309
LOC123332491	4.612327381	0.059656286
LOC112586637	4.612327381	0.059656286
LOC123465426	4.612327381	0.059656286
NUDT2	0.906072627	0.059664407
LOC123333071	-4.378922331	0.059688839
LOC123334080	-1.238923006	0.059709299
LIN54	-0.691780186	0.059713218
LOC112577777	-2.051056195	0.059726806
LOC102403829	-0.769594146	0.059819257
RASGRP2	-1.212801288	0.059855206
C21H3orf84	3.57686168	0.05991896
LOC102389990	-2.513542833	0.059920273
IRF4	1.731656966	0.059972164
RAB1A	-0.559269526	0.059984068
IMP3	-0.833283977	0.059977881
IKZF4	0.972412214	0.060025105
CWC15	0.812976704	0.060045467
LOC112580059	2.573033337	0.060043372
LOC102406596	-0.519195073	0.060064524
ACO2	-0.580875041	0.060072029
HHEX	0.932329381	0.060071118
SHC3	5.036563479	0.06023939
KCNA2	5.036563479	0.06023939
LOC102415534	5.036563479	0.06023939
LOC102392637	-1.091588014	0.060220815
LOC102394141	-0.981624303	0.060221124
GDF5	5.036563479	0.06023939
LOC102398132	5.036563479	0.06023939
MRO	5.036563479	0.06023939
PSMB1	0.700892175	0.0602786
SPAG16	2.281697194	0.060290302
LEPROTL1	-0.634266455	0.060325583
SENP1	-0.591953432	0.060327308
TXLNA	-0.807507304	0.060380311
LOC102391581	4.648532354	0.060386528
MTIF2	-0.749935091	0.0604089
CISD1	0.868596236	0.060518231
ZBED1	0.860738971	0.06057025
PRND	-1.975441377	0.060610334
EXOC4	-0.653366375	0.060625082
LRRC72	2.360231019	0.060637951
RPS8	0.940175012	0.060667161
SRD5A3	-0.574919906	0.06070861
LOC102413478	-1.451913473	0.060753635
LOC102416033	-0.64721423	0.060824237
NCKAP5L	0.988824694	0.060875961
LOC123465791	-1.766287848	0.060912349
LOC102405260	2.833675865	0.060920257
LOC102404010	0.801343527	0.060940057
PEX16	-0.781756495	0.060956251
TAOK1	-0.677624865	0.060979392
TBX6	2.111484145	0.06101338
LOC123465012	0.996837976	0.061049137
HPS6	-1.062848622	0.061102849
PUS1	0.625524391	0.061123352
MRPL45	0.905247581	0.061144432
LOC112579916	-1.423598711	0.061163073
SYCE1L	-2.569618761	0.061176205
LOC112587423	0.940286181	0.061268997
HNRNPH2	0.464424119	0.061284707
DDX42	-0.623328945	0.061300785
XPR1	-0.721347574	0.061312274
HOXC9	1.594539106	0.061473345
MYSM1	-0.633926749	0.061470418
LOC102401017	0.446968521	0.061497514
LOC123334654	-1.653726491	0.06151022
LOC112577862	1.42433796	0.061596637
PCYOX1	-0.784696156	0.061590775
RIIAD1	3.880715414	0.061698701
LOC112586540	-4.81482174	0.061693028
LOC112578388	-2.521251998	0.061761613
LOC123328273	2.031956383	0.061804923
CDK2AP2	-0.738135774	0.061834979
LOC112578023	2.544338983	0.061846062
TTC3	0.780421607	0.06186839
LOC102400507	-3.211175759	0.061888856
SLC34A2	-4.972497415	0.061888069
CRIP3	-4.215295792	0.061938411
RPS19	0.758451739	0.061947024
LOC123335269	-4.230407643	0.062021609
GRB14	2.175408777	0.06213104
LOC123327724	-4.269305408	0.06214487
LOC112579536	-4.269305408	0.06214487
HOXA4	2.384185829	0.062203086
GABRA4	7.293460504	0.062233016
RNF150	1.282684631	0.06226434
LOC102410623	1.471709612	0.062286021
CCDC183	1.539430769	0.062301901
FAM162B	-2.200387629	0.062367706
LOC123331433	-1.321283084	0.06241778
PRKCSH	-0.691311112	0.062430549
VAMP1	1.543330512	0.062472284
LOC123334876	5.020729894	0.062468715
SLC51B	5.020729894	0.062468715
LOC102397662	1.393106064	0.062467274
TLR10	2.286942848	0.062510614
SLC13A2	4.020151559	0.062537655
ANKEF1	4.020151559	0.062537655
KCTD2	-0.585454465	0.06258277
NR2E1	-1.713033102	0.062621637
NTAN1	0.699585176	0.062648683
LOC123335168	3.111034351	0.062747469
PIN1	0.697193097	0.062788308
CD86	1.236553995	0.062818533
LOC123330698	2.05643716	0.062873849
CNIH3	2.63103352	0.062930182
MYO15A	7.266754203	0.06295208
RASGRP3	-0.963573348	0.063014219
KCNMB1	3.646673638	0.06318101
GOPC	-0.563252236	0.063222947
ACSF2	-0.743473493	0.06324678
SIAE	0.590518996	0.063240817
LOC123333658	-4.844266654	0.063264096
ATP5MC1	-0.820998957	0.063274766
NKAPL	1.340767621	0.063291754
IGFBP5	1.30640731	0.063299214
TTC33	0.678274943	0.063305259
DNAH8	4.563915059	0.063402981
SCRN2	-1.295136028	0.063379579
SPEM1	4.563915059	0.063402981
LOC123465810	4.563915059	0.063402981
TNFSF14	4.563915059	0.063402981
LOC102405328	4.563915059	0.063402981
CDH7	4.563915059	0.063402981
PLAC9	1.902014183	0.063436512
C1H3orf38	0.818597004	0.063471094
MED12L	-1.021946992	0.06346823
ZBTB17	0.524385202	0.06351619
HOXD4	1.290211823	0.063529903
PGM1	0.851686789	0.063534833
LOC102407564	0.680140729	0.063578203
N4BP3	1.008195985	0.063606099
LOC102406021	0.688181199	0.063611567
LOC102416252	0.852593311	0.063607713
LOC102390258	-2.885698153	0.063644011
ZNF22	-0.74380789	0.063698578
SMYD4	-0.830081017	0.063723943
PTPN13	0.677859496	0.063755798
POM121C	-0.723235237	0.063793327
C1H3orf52	-0.949264319	0.063851
LOC112584061	3.946044383	0.063843553
LOC102402769	1.347104692	0.063846311
TRIM9	3.931966329	0.063933948
LOC112586921	-4.810721871	0.064051788
NADSYN1	-0.656232154	0.064099848
LOC112587836	-4.877188875	0.064146886
TGIF2	-0.95205868	0.06426324
C16H11orf58	0.555966369	0.064265477
BORCS7	0.807680367	0.064260511
RPL39	1.015770555	0.064242807
LOC102394446	0.960951002	0.064349008
LOC123334794	-2.377526088	0.064354844
LOC123332137	1.414798015	0.064471654
GUF1	-0.607051739	0.064464256
PIM2	0.60100283	0.064464283
SFI1	0.769551357	0.064486607
DAPK3	0.810895423	0.064550064
HMGN5	-1.545459078	0.064577023
PLCH1	-1.966308834	0.064592638
CLCN6	-0.736974037	0.064615388
LOC112578088	-2.039131059	0.064607153
LOC112579273	1.747142768	0.064611359
DLD	-0.57153836	0.06472949
DDA1	-0.693102133	0.064767683
CNNM3	0.636537281	0.064774528
SBNO1	-0.536062418	0.06478158
LOC123465231	3.377804407	0.064774315
SRRT	-0.525551756	0.064823507
PLAA	-0.466328023	0.0648435
RPS6KA5	-0.63047344	0.064855006
WIPI1	1.337659591	0.064865424
RPL24	0.807474077	0.064874141
CLEC4G	3.957745713	0.064941194
LOC102400446	3.967411724	0.064956234
PHKA1	0.733423621	0.064972202
LOC102397167	-0.859968862	0.065000703
LOC123333823	-4.209659705	0.065073425
HS2ST1	-0.563062039	0.065181182
PTCD1	-0.899578503	0.065173671
SULT4A1	-1.91295906	0.065214033
HES4	2.80452906	0.065252601
AKAP12	1.3349802	0.065273421
PLAG1	-0.770437012	0.065274932
LOC102403165	2.56710357	0.065304154
HOXD13	1.66361579	0.065391395
SLC1A7	3.06368653	0.065414774
MBLAC2	1.170207089	0.065414508
LRRC32	1.198297433	0.065401668
TMEM178B	5.004615311	0.065545529
PTCHD1	5.004615311	0.065545529
LOC102403447	5.004615311	0.065545529
LOC102401136	3.386540916	0.065560642
ARMC7	-0.764794133	0.065568701
STK38	0.749520042	0.065613707
LOC123332559	-4.196367686	0.06565256
CDC5L	0.44553525	0.065661281
NWD2	-4.228480748	0.065660486
SNAI3	-4.228480748	0.065660486
RABAC1	0.682404486	0.065642083
CFAP91	1.829849161	0.065677542
ATP2B1	0.531172349	0.065696249
SPAG9	0.658607975	0.06573822
DNASE1L2	1.125338751	0.065939243
CFAP99	7.150436073	0.06595841
WRAP53	-0.631773955	0.065977392
SRP14	1.046390341	0.066011726
TMEM132D	-4.9115623	0.066056455
GABRA5	7.10971305	0.066155374
MYOZ2	-4.278973038	0.066175688
ALDH1A2	-1.776697933	0.06619511
SAMD11	-2.058368277	0.066240491
LOC123334079	3.639133487	0.066231799
LOC102398005	7.186028452	0.066210633
KIAA1191	0.669257635	0.066241359
LOC112579150	3.639133487	0.066231799
CCNY	-0.487796032	0.066262321
PSMB9	2.572688917	0.06631848
PRR12	-0.737456366	0.0663656
DSG2	0.730705627	0.066364517
LOC102391271	1.156047508	0.066378192
TRPM5	4.585925169	0.066407086
HSH2D	4.585925169	0.066407086
LOC123331538	4.585925169	0.066407086
SOX5	-1.282575909	0.066465887
GJB7	-1.970037745	0.066518295
PRMT3	0.651319282	0.066550651
LOC123332738	2.062888128	0.06656831
TTC16	4.703061713	0.066601799
CDO1	1.295482099	0.066662233
TUBG2	-1.189312147	0.06668483
MRTFA	0.982778125	0.066738258
CA14	-4.747071194	0.066738741
PITX2	0.876160146	0.066746285
DERL2	-0.662253196	0.066765735
DCAF16	-1.214533459	0.066774272
SYTL2	1.028869609	0.066814182
TM9SF4	-0.626337303	0.066820566
SLITRK6	-1.70887976	0.066852887
SLC66A2	0.892751294	0.066931956
MED23	-0.52071115	0.066961502
LOC102400086	4.502913316	0.06699007
SEC22B	-0.609689912	0.067044909
TENT2	0.71326478	0.067075385
NTHL1	1.21346344	0.067099003
CSTA	7.101931462	0.067175614
NKD1	-1.550736567	0.067183427
ARMCX2	-1.134359776	0.067280794
PPP1R3A	2.228004042	0.06729805
INHA	-1.724586379	0.067352317
CCDC149	1.137487799	0.067406405
LOC123332253	-1.657329077	0.067480638
FAM200A	-1.656628554	0.067537895
LOC102389916	1.230747795	0.067597392
LOC102398665	0.947375169	0.067622082
FKBP10	-1.120030844	0.067652553
LOC123333481	1.472302913	0.067655484
HCN3	-2.43694699	0.067689595
CREBZF	0.659757794	0.067837119
MORC3	0.814055117	0.067857671
ETFBKMT	-2.078648003	0.067855583
LOC123332261	-4.089253775	0.067872861
RYR2	2.898497426	0.067928587
LOC102414663	1.30604092	0.067950131
ARID4B	0.711215874	0.067965363
CD80	2.199420024	0.068011099
ARRB2	0.816929476	0.06806425
TMEM18	-0.753436457	0.068262846
ARL15	-0.823551199	0.068320826
C17H4orf46	-0.826014996	0.068373274
NUDT21	-0.622487513	0.068412563
PRKAR1A	0.451173123	0.068437923
LOC112582429	-3.122220528	0.068481188
LOC112586995	-1.669400113	0.068505129
RAB5B	-0.483323796	0.068517837
CAND1	-0.459578598	0.068556081
LOC112578018	-4.315556584	0.068601459
LRP1B	-3.01226321	0.068637636
PDRG1	-0.630565644	0.068634517
LZTFL1	0.685777723	0.068638042
NTS	-2.43407399	0.068651945
NDUFS1	-0.498085037	0.068855782
TMEM132E	7.071085172	0.068834887
MANSC1	-0.562099043	0.068822777
PLCZ1	-4.284717593	0.068835379
CDC37	0.500535279	0.068848449
STARD9	1.091245048	0.068853078
LOC102413663	-3.089880464	0.068811038
TNIK	-0.509994244	0.0688774
LOC102397942	-0.713348133	0.068880141
KMT2D	-0.670714441	0.068993114
RPS21	0.981921198	0.069000254
LOC123328942	-4.741458522	0.069073679
TRNAC-GCA_40	5.076752475	0.069091171
EFTUD2	-0.520676576	0.069143109
LOC102413401	-0.707705679	0.069138073
ANKRD22	1.120582565	0.069215412
ATP8B3	1.952884803	0.069238843
SOCS5	0.724892524	0.069313626
LOC102401883	3.757427906	0.06936961
LOC102411911	-0.496134661	0.069403546
LOC123331624	2.131878304	0.069398683
PATL1	0.62626759	0.069442695
GP5	2.173502373	0.069479333
DHX32	-0.564248633	0.069515349
SLC18B1	0.897632203	0.069583445
TRNAC-GCA_42	5.03103238	0.069628397
ATE1	0.461902999	0.069627917
MSTO1	0.981482691	0.069656293
LSMEM2	3.325597466	0.069677138
APOF	-5.462156678	0.069816737
MPDU1	-0.561666221	0.069882309
ZSWIM5	-4.149711385	0.069889048
TSPAN12	-1.196305171	0.069953784
SH3GL2	-2.73477825	0.069973488
PLPPR2	1.6412791	0.070016227
CD19	1.123848251	0.070034379
LOC102405017	-4.772324651	0.070078589
DDX50	0.547554366	0.070070539
LOC112584692	1.250130144	0.070066774
GTF2A2	0.830611343	0.070069809
LOC123334007	1.131657082	0.070140927
LOC123331004	-2.274036595	0.070269874
LOC102400063	2.664890901	0.070283059
TYW5	-0.771625681	0.070328595
ARNT2	-1.309351361	0.070340635
CXHXorf65	4.543264987	0.070333243
TRNAR-CCU_7	7.077340845	0.070446792
HOXC8	1.348518043	0.070464384
MZF1	0.865387111	0.070495916
GAL3ST2	-3.652898384	0.070531254
XPA	0.51867292	0.070614085
ATP10D	0.818291977	0.070658076
FHIP1B	0.760790439	0.070662568
LOC123329427	-1.937103269	0.070721732
TP53BP1	-0.666646374	0.070713985
KASH5	2.412568741	0.070759828
JAKMIP3	1.694565438	0.070775754
LOC123332895	-3.664897741	0.070846287
TRIP12	-0.527749319	0.07093817
FAM20A	1.620191965	0.070938356
LOC123330937	-3.527178373	0.070939253
NXPE3	0.83020127	0.070988636
GADD45A	0.456399246	0.070992516
ATPAF1	-0.662047708	0.07103549
MPL	2.182662794	0.071056431
LOC123327669	-3.665599547	0.07107068
ASB4	-2.770234717	0.07113214
WASF2	-0.514691252	0.071161092
RBFOX2	0.625514271	0.071175531
LOC102403953	2.226911661	0.071216643
MRPS9	-0.600332153	0.071215571
NEB	1.949504475	0.071295418
LOC123332673	-4.737086016	0.071287651
ILF2	-0.595910209	0.071279897
FANCL	1.134658937	0.071276494
CMSS1	-1.114303943	0.071344526
GATA4	-1.409012659	0.071503998
SPR	-0.649612628	0.071570499
CDK12	-0.540580954	0.071662951
TMEM183A	0.651917171	0.071705962
TRNAY-GUA_63	-2.401528897	0.071717223
SEMA3F	-1.2880134	0.071722674
LOC123332674	4.234319166	0.071789817
TMEM8B	1.393818223	0.07185453
SLC43A3	-0.674130641	0.071858826
APH1A	-0.503151573	0.071892632
LOC112586146	-2.465138511	0.071897884
STXBP2	-0.536318049	0.071943266
LOC123328931	2.890291518	0.07195447
LOC112580421	-0.836958572	0.072028778
ATP5MJ	1.050167733	0.072028907
VASH1	0.974513053	0.072057929
ATP7B	1.18186054	0.07207135
AGBL2	1.239236928	0.072078234
LOC102415176	2.788498627	0.072100799
CPS1	-4.858594747	0.072123568
PSMD1	-0.488814987	0.072116408
KCNMB4	3.399421741	0.072125256
LOC112579282	-4.823916468	0.072117497
AGTR2	-2.100095392	0.072144676
LOC102394680	4.984334296	0.072259087
LOC112585772	4.984334296	0.072259087
LOC123332705	4.984334296	0.072259087
KRT4	4.984334296	0.072259087
LOC112586144	4.984334296	0.072259087
LOC123328247	4.984334296	0.072259087
UPF3A	0.921846007	0.072246481
LOC123464540	4.525622259	0.072189933
RBM12B	-0.714330256	0.072256451
LOC112580691	4.984334296	0.072259087
LOC102402877	-1.20801145	0.072264888
LOC102392681	4.984334296	0.072259087
PTPN9	-0.48004962	0.072325069
VAC14	0.758433583	0.072338759
PRRT3	2.802264716	0.072346493
LOC112577670	-0.658828058	0.072402118
DNAL1	0.727010229	0.072500254
NRBP2	0.820172202	0.072511604
C18H16orf87	0.614452519	0.072571854
H0I40_mgp09	-0.515163315	0.072567792
HPDL	-4.190451638	0.072589482
LOC123464538	1.595989726	0.072604339
WBP1	0.75274181	0.072717502
LOC123332865	-3.219607313	0.072775428
TEAD3	0.549540045	0.072879164
LOC123330599	2.612719564	0.072874954
CAPN14	2.819984016	0.072929334
LOC112581897	-1.092768844	0.072929362
LOC112579212	2.619584644	0.072953748
SLFNL1	2.336922922	0.073014148
PPAN	0.61502783	0.073025664
TRA2B	-0.472024888	0.07307586
LOC112578251	-3.159992749	0.073082267
PIK3C2B	0.778989121	0.073096534
TIGD3	-1.450616922	0.073103383
CDC42	0.603042408	0.073173057
PDCD2	0.6842224	0.073327404
NEURL2	-1.568512291	0.07332642
LOC102410040	-5.422635383	0.073337195
PIP5K1A	0.603342617	0.073354502
HTR2A	1.515027252	0.073362796
ELOF1	0.684545951	0.073443173
EVI2A	1.612164648	0.073520961
POLR1B	-0.609292249	0.07351727
LOC102388998	-1.267759068	0.073532013
LOC102408093	1.041093661	0.07358114
NLRX1	-0.71585361	0.073595607
LOC123464558	2.086733863	0.07364895
ALG1	-1.119770646	0.07368212
MMP12	6.997465544	0.073700543
LOC102390113	-0.989783111	0.073695757
AQP1	1.351443963	0.073773691
MDC1	-0.607732721	0.07380617
TTI1	-0.66011672	0.073805953
LOC102397215	0.942885515	0.073908302
PTPN11	-0.581544597	0.073933307
AARS2	-0.953763943	0.07396766
RNFT2	-1.190940139	0.073967753
DNAJC21	0.490007077	0.074032008
TMEM260	0.529604513	0.074041775
PRKCA	1.117719203	0.074131072
USP50	1.646344003	0.074271902
TPP2	0.469447583	0.074287952
PITPNA	0.646101369	0.074407401
LOC112587487	1.52931548	0.074598167
DNAJB14	-0.52832086	0.074616687
LOC102399397	-1.01265145	0.074620567
HORMAD1	-1.633179011	0.074636155
LOC102412336	-4.119525656	0.074680605
LOC112580873	-4.119525656	0.074680605
LOC112581918	-4.119525656	0.074680605
RADIL	2.462062994	0.074754012
SPATA1	-2.187716799	0.074890789
CREB3L1	1.093764425	0.0748886
LOC112580837	-4.16151741	0.074897918
DUSP22	0.704989672	0.074923655
ARL8B	-0.626319668	0.074965542
ITGA4	-1.218753115	0.075004583
VPS53	-0.550062971	0.075002238
LOC112582281	-2.46964168	0.07501966
F9	-4.825399498	0.0751032
POLDIP3	-0.554130804	0.075123655
NUP42	0.720617895	0.075286082
CILP2	-1.459664967	0.07529265
N6AMT1	1.285537323	0.075433805
LOC112587409	4.440032658	0.075474747
MUCL3	4.440032658	0.075474747
LOC102407515	4.440032658	0.075474747
TRNAE-CUC_5	4.440032658	0.075474747
LOC102407347	4.440032658	0.075474747
TRNAC-ACA_48	4.440032658	0.075474747
LOC102400403	4.440032658	0.075474747
SUN3	4.440032658	0.075474747
MZB1	4.440032658	0.075474747
LOC112586908	4.440032658	0.075474747
LOC102403366	4.440032658	0.075474747
NCK2	0.672713302	0.075464972
LOC102395459	4.440032658	0.075474747
NUCB1	0.581953872	0.075338345
ZNF583	0.66501281	0.075377865
CNNM1	4.440032658	0.075474747
LOC102415161	4.440032658	0.075474747
FLII	0.594546996	0.075553689
LOC123333764	4.416886538	0.075614757
NFAM1	1.897730354	0.075646014
UBE3C	-0.610006905	0.075647169
KDM1B	-0.715767998	0.075678088
ARMC2	1.025471583	0.07568877
POC5	-0.588352908	0.075687779
BBOX1	-4.196103766	0.075680057
PODXL	-1.367596521	0.075876824
KIDINS220	-0.595377908	0.075899668
ZNF397	0.886021963	0.075955575
MSRB2	1.410820155	0.076067553
LOC123332833	-4.317974174	0.076098879
OSCP1	-1.804965497	0.07613598
PAMR1	-1.504974334	0.076230349
LOC102415312	3.728289009	0.076229335
ATXN7	-0.738268345	0.076238407
POLR3E	-0.554917228	0.076337982
MYO7B	4.903006831	0.076458332
PIWIL2	1.956609286	0.076412228
TRNAC-GCA_123	4.936413547	0.07646525
LOC102389267	4.903006831	0.076458332
NCOA5	-0.53090289	0.076438002
LOC123330416	4.903006831	0.076458332
LOC112581147	1.908823883	0.076438209
PDZD7	4.903006831	0.076458332
KCNN1	-2.401572995	0.07647856
SNX11	-0.635477959	0.076503464
HECA	0.521982067	0.076511642
LOC123328270	1.963470645	0.076506624
SF3B1	0.486182946	0.076526905
ETHE1	-0.967668675	0.076541517
ITPRIPL2	-0.575191327	0.076604033
MAEA	0.506633871	0.076681512
PRPF31	0.686779484	0.07669233
RBSN	-0.551465229	0.076718138
PARD6B	-0.875077836	0.076729623
NFE2L2	0.461025432	0.076789851
ZKSCAN4	-1.72415179	0.076800429
MIEN1	0.679512634	0.076825827
PARVG	1.956482308	0.076845869
TDRD7	-0.59644971	0.076912481
CLK1	0.668672884	0.077018564
LCORL	-0.642412507	0.077016277
APLP1	1.030391185	0.077066838
LOC102416239	3.026370564	0.077099056
SLC29A3	-0.776025434	0.077112722
HINT2	0.98633151	0.077144799
RYK	0.534217049	0.077195967
CD164	-0.76493913	0.077248652
RGMA	4.121883011	0.077256722
FAM189A2	1.52687032	0.077282315
NTRK3	5.727207756	0.07735764
FILIP1	1.498381893	0.077390826
TMEM67	0.549112877	0.077432265
ZFR2	3.37295482	0.077524796
LOC102412924	-4.770977449	0.07753309
FAM229A	2.188742316	0.077592337
GLUD1	0.559796479	0.077592963
EFHB	1.479017902	0.07764572
MAPK1	-0.632700691	0.077682874
EPC2	0.641390707	0.077727813
LOC102404366	-0.608040102	0.077745735
LOC112578282	2.99151629	0.077773339
TUT4	-0.612009294	0.077840189
LOC123328250	-4.696620083	0.077859701
LOC102394907	1.010471715	0.077908597
LOC102409476	-4.656621228	0.077989964
CARNS1	-2.417804145	0.078034901
KIF5A	1.989210889	0.078062927
RNF113A	0.846649381	0.078058963
LOC102393709	-4.732952883	0.078102999
SH3RF2	1.187460493	0.078106899
MRPL42	1.098235955	0.078123471
OSTC	-0.665950293	0.078135325
BCL6	-0.641047484	0.078252457
PEX12	-1.012562321	0.07831972
SOX6	-1.071273943	0.078365573
LOC112585346	-0.828257954	0.078403468
SNX9	-0.450859451	0.078462743
CFAP300	2.061455171	0.07845837
PIK3R1	0.433646132	0.078438518
DRP2	-2.525457452	0.07845404
ARHGAP6	0.928717379	0.078554232
ITGBL1	1.772567051	0.078586986
CCDC158	1.185361378	0.078682648
CRLF1	2.403922576	0.078674542
COPB1	-0.475726444	0.078718024
LOC112585903	1.459588152	0.07885831
EPPK1	0.741470737	0.079011381
CFAP69	-1.578821324	0.079107046
LOC112578849	2.613301601	0.079121564
SLC26A6	1.126553245	0.079284486
LOC123466165	-2.663639918	0.079310299
BNIP2	0.717239588	0.079310768
MAGIX	0.994748168	0.0793714
SERPINF2	-6.857383871	0.079430008
SERPINC1	-1.956823354	0.079470426
MACO1	0.438909483	0.079501742
LOC112582765	2.77060447	0.079587826
LOC112584119	2.77060447	0.079587826
ERP44	-0.524850119	0.079587774
LOC102393086	0.443865779	0.079691999
TMEM267	-0.911472357	0.079689181
SDCBP2	-1.742277904	0.07975244
LOC123333311	-4.15195187	0.079780323
ALG11	-0.644659182	0.079772418
LOC112580322	-4.15195187	0.079780323
MRPL1	0.812513564	0.079832447
LOC102407011	3.439749944	0.079855986
DYNLRB1	0.626616537	0.07987061
TWSG1	0.469917493	0.079901854
CNTROB	-0.668147919	0.080009548
EAF1	-0.574212581	0.080057041
LOC102405097	-4.06617894	0.080055486
EIF3G	0.540753442	0.0800753
NDUFA8	0.771819119	0.080129285
RANBP6	-0.496581348	0.080153704
AFG3L2	-0.425932634	0.08015502
LOC102391237	2.628799959	0.080166022
QKI	0.535891635	0.080279513
LNPK	0.592791903	0.080293033
MYT1L	4.393434632	0.080364368
OPTC	4.393434632	0.080364368
LOC123328309	4.393434632	0.080364368
LOC123464704	4.393434632	0.080364368
LOC112578188	4.393434632	0.080364368
LOC112578670	4.393434632	0.080364368
TMEM89	4.393434632	0.080364368
FRS2	-0.43646354	0.080394673
TRAF3IP3	2.409842954	0.080394769
LOC102403823	1.163966883	0.080380768
MGAT5B	-4.17778272	0.080461759
ACAT2	-0.841143315	0.080467156
TNFAIP3	0.820098112	0.080475099
C16H11orf42	1.118293997	0.080472277
ALKBH2	1.041420524	0.08046547
BTAF1	-0.601993003	0.080477768
CLEC7A	1.367052806	0.080492581
LOC102392787	1.825275711	0.080560331
KANSL1L	0.640804535	0.080614797
LOC123330854	-4.125836915	0.080633331
CCR6	2.394851221	0.080684977
ADORA2B	2.108608969	0.080727679
LOC123465344	-1.537806773	0.08072171
ANKS1B	1.30309025	0.080822478
SPATA2	-0.747998859	0.08081714
WDR46	-0.488758164	0.080905637
LOC123328667	4.453118649	0.080951096
LOC123331647	4.453118649	0.080951096
ETAA1	0.595141087	0.080964696
KIAA0930	0.694517036	0.081035117
LOC123328056	2.7830759	0.0812476
LOC102394258	3.013605228	0.081450866
SEC24A	-0.450290511	0.081450553
ZDHHC16	-0.600059304	0.081487694
SERTAD4	-0.952148989	0.08168444
DDX5	0.589784327	0.081735628
LOC102394952	0.757412041	0.081749063
KLHL22	-0.651862865	0.081741775
MPP1	-0.783114086	0.08176103
LOC112586855	3.277222167	0.081775241
LTB4R	2.63102298	0.08182744
KLHDC3	0.453694269	0.081903023
FIP1L1	0.502342332	0.08187783
TBCA	0.840371476	0.081898192
CPEB4	-0.521380872	0.081888099
LOC112579760	-1.303555171	0.082069757
LOC102413470	-3.121542145	0.082268068
LOC123465322	3.783696216	0.082260383
LOC123331762	-1.128881718	0.082262482
COPZ2	-0.701088702	0.082301092
LOC102403223	3.274413159	0.08240707
HAO2	-4.648668373	0.082431335
NDUFA2	0.731279172	0.082443272
ABCB9	-1.243432699	0.082448403
HNRNPA2B1	-0.521252373	0.082551363
LOC112584144	1.602860297	0.082580852
LOC123333722	-1.483004	0.082590993
LOC102410687	2.025095538	0.082612729
SUPT16H	-0.438644467	0.08260854
SLC7A8	-0.915620673	0.082664188
NSUN5	0.710431562	0.082694629
LOC123335251	-4.621509231	0.082762445
MROH8	-4.621509231	0.082762445
LOC123329053	-4.621509231	0.082762445
LOC112586498	-4.099364845	0.082804812
SFRP1	1.584091799	0.082907506
DDX21	0.425712787	0.08290004
LOC123335016	-1.888590075	0.082901646
TMEM169	-4.103354411	0.082930009
SLC36A4	-0.590263372	0.082929468
COPS5	0.799827083	0.083008361
LOC123332989	1.681371011	0.083048123
LOC112585331	-1.508876137	0.083036108
LOC123465888	1.302010545	0.08304658
MYO1G	3.945325045	0.083077799
PHLDA3	-0.607388765	0.08309244
LOC123328421	3.360387123	0.08313845
RPS6KA1	1.011782772	0.083185815
PTK2	-0.628061155	0.083236058
MKRN3	-2.288943715	0.083234113
ZFHX2	0.819751187	0.083250583
LOC102395477	-1.001039815	0.083276249
B3GAT2	-3.480284988	0.083333458
LOC123330276	-4.203431326	0.083355312
POPDC2	3.682692105	0.083464897
