Geneid	Gr11.bam	Gr12.bam	Gr13.bam	Gr31.bam	Gr32.bam	Gr33.bam
LOC112582773	2	0	2	2	3	0
STAT4	2	4	6	16	6	28
LOC102390363	239	360	336	397	402	370
MYO1B	2595	1804	1723	2399	1855	2874
LOC123331732	3	0	0	0	0	0
LOC123331734	0	2	0	0	2	0
NABP1	336	333	416	252	366	144
LOC123328553	0	0	2	4	4	0
CAVIN2	295	188	189	227	42	449
TMEFF2	0	8	0	0	0	0
LOC123331744	0	0	0	0	0	0
TRNAS-GGA_13	0	0	0	0	0	0
LOC123328556	0	0	0	0	0	0
SLC39A10	1148	1866	1250	235	119	343
LOC123331748	2	0	8	0	0	0
DNAH7	31	26	33	2	4	0
STK17B	290	239	247	529	539	508
HECW2	410	38	159	48	9	84
LOC123331755	0	0	2	0	0	0
CCDC150	47	4	42	19	11	22
GTF3C3	413	267	427	179	148	211
C2H2orf66	0	0	0	0	0	0
PGAP1	843	975	878	679	575	759
TRNAC-GCA_31	5	0	7	1	0	3
ANKRD44	805	809	873	363	306	431
LOC123331788	0	0	0	2	1	2
LOC112582910	0	0	0	0	0	0
SF3B1	5346	4635	5122	4959	3025	6912
COQ10B	264	201	212	321	320	245
LOC112583039	1	0	3	2	2	2
HSPD1	4268	3794	4568	3385	2598	4215
LOC102406576	1295	1685	1264	3510	5018	2059
LOC123331809	10	1	2	4	5	4
RFTN2	78	42	36	1097	342	1948
MARS2	114	69	91	703	605	750
BOLL	2	0	1	6	15	0
PLCL1	53	46	28	120	14	218
LOC123331843	2	0	0	0	0	0
LOC123331847	0	0	0	0	0	0
LOC123328557	0	0	0	0	0	0
LOC112583041	0	0	0	0	0	0
SATB2	3513	3911	3361	70	41	87
LOC112583006	0	0	0	0	0	0
FTCDNL1	4	4	11	0	2	0
C2H2orf69	113	149	158	127	116	132
TYW5	145	154	217	68	63	75
MAIP1	101	49	61	25	31	38
SPATS2L	777	731	195	845	740	965
KCTD18	158	122	145	90	97	86
SGO2	674	569	683	72	32	108
AOX1	1857	1365	1429	2687	655	4802
LOC102396784	78	147	72	51	90	32
LOC102391150	0	2	0	2	0	2
LOC102391488	18	2	15	4	4	0
LOC112582912	2	0	0	0	0	0
BZW1	3461	5030	3561	2275	1962	2591
CLK1	1275	714	1383	1210	1055	1365
PPIL3	100	92	65	40	37	49
NIF3L1	99	103	70	40	17	65
ORC2	530	456	501	167	163	173
LOC123331943	2	0	5	0	0	0
FAM126B	1121	1731	1898	260	246	371
NDUFB3	300	338	222	437	629	174
CFLAR	924	590	947	609	397	710
LOC102394793	0	0	0	0	0	0
LOC102412699	0	0	2	28	28	12
CASP8	107	73	68	317	301	342
FLACC1	2	0	0	0	0	0
LOC102413693	11	12	5	7	8	10
TRAK2	3515	3017	2741	413	300	453
STRADB	370	479	252	12	18	6
C2CD6	0	0	2	0	0	0
TMEM237	38	39	36	4	2	4
MPP4	0	0	0	0	0	0
LOC112583052	0	0	0	0	0	0
ALS2	402	301	582	229	119	350
CDK15	0	9	6	8	0	9
LOC123331985	0	0	0	0	0	0
LOC123331986	2	0	0	0	0	0
FZD7	450	113	118	226	236	185
KIAA2012	4	0	2	49	93	15
LOC123331992	0	0	0	2	0	2
SUMO1	472	573	442	825	1110	552
LOC112583090	0	0	3	0	0	0
NOP58	1109	919	1059	635	607	647
LOC112583124	6	12	31	6	1	11
LOC112583123	0	1	1	0	2	0
LOC112583137	1	0	9	0	3	2
LOC112583135	2	4	11	4	6	0
BMPR2	2130	2173	1658	1167	528	1844
LOC123331995	84	109	109	33	12	35
FAM117B	334	683	331	123	57	178
ICA1L	6	4	2	3	4	9
WDR12	375	438	342	158	154	199
CARF	622	533	621	159	111	192
NBEAL1	1963	1635	2537	1051	539	1553
LOC102396257	605	792	469	267	298	237
ABI2	129	56	54	127	61	165
RAPH1	1453	1368	1287	1130	580	1608
CD28	0	2	0	0	0	0
CTLA4	0	0	0	2	0	2
ICOS	0	0	0	4	4	2
LOC123328559	0	0	0	0	0	0
LOC112578493	0	0	0	0	0	0
LOC123332026	0	0	0	0	0	0
LOC123332025	0	0	0	0	0	0
TRNAS-GGA_14	0	0	0	0	0	0
LOC123332027	0	0	0	0	0	0
TRNAS-GGA_15	0	0	0	0	0	0
PARD3B	980	874	1103	731	323	1044
LOC123327986	5	0	5	1	2	1
LOC123327991	5	2	4	0	2	1
LOC123327984	0	0	0	0	0	0
NRP2	524	723	196	737	389	1074
LOC123332033	0	0	0	2	0	2
LOC123332032	0	0	0	0	0	2
LOC123328561	0	0	0	0	0	0
TRNAW-CCA_25	0	0	0	0	0	0
INO80D	814	605	1003	499	210	781
LOC123332042	0	0	1	0	0	0
NDUFS1	837	976	680	385	324	477
EEF1B2	1691	2080	965	1297	1434	1048
LOC112583098	13	0	6	5	7	2
LOC112583100	0	0	0	0	0	0
CMKLR2	9	6	2	4	2	10
ZDBF2	6	0	0	46	4	87
ADAM23	16	0	4	0	0	2
LOC123332056	0	0	0	0	0	0
FAM237A	0	0	0	0	0	0
DYTN	0	0	0	0	0	0
MDH1B	8	2	6	2	0	2
FASTKD2	178	135	97	105	98	106
CPO	0	0	0	2	0	2
KLF7	433	204	362	1389	487	2187
LOC123328140	0	0	6	28	40	13
LOC102403530	0	0	0	0	0	0
CREB1	721	567	654	490	340	627
METTL21A	93	66	112	67	51	86
LOC123332170	1	3	2	0	0	0
CCNYL1	296	289	288	245	219	255
FZD5	1213	1395	1292	29	37	12
PLEKHM3	227	131	231	68	44	123
LOC112582918	2	0	3	1	0	1
LOC123332171	1	0	4	0	0	0
LOC102413724	0	0	0	0	0	0
LOC102410983	4	4	2	2	2	2
LOC102411310	0	0	0	0	0	0
CRYGC	0	0	0	0	0	0
LOC102411642	0	0	0	0	0	0
LOC102411974	0	0	9	0	0	0
LOC123328566	0	0	0	0	0	0
IDH1	3464	3276	3164	502	504	433
PIKFYVE	858	482	781	184	121	292
PTH2R	0	0	0	0	0	0
LOC112583173	0	0	0	0	0	0
LOC102395555	0	0	0	0	0	0
TRNAC-GCA_32	0	0	0	0	0	0
MAP2	30	2	19	154	36	255
LOC123332172	0	0	0	0	0	0
UNC80	0	0	0	2	0	2
TRNAS-GGA_16	0	0	0	0	0	0
LOC123332173	0	0	0	0	0	0
RPE	379	297	411	177	153	165
KANSL1L	322	167	280	296	179	358
ACADL	59	85	71	125	117	138
MYL1	0	0	0	0	0	0
TRNAG-CCC_25	0	0	0	0	0	0
LANCL1	419	338	366	250	159	384
CPS1	0	22	2	0	0	0
LOC123332175	0	0	0	0	0	0
LOC123332174	0	0	0	0	0	0
LOC123465467	0	0	2	0	0	0
ERBB4	0	2	0	2	0	6
LOC112583117	0	0	0	0	0	0
LOC123332178	0	0	0	0	0	0
LOC123328572	0	0	0	0	0	0
IKZF2	229	172	123	538	333	687
SPAG16	3	1	2	8	4	8
LOC112583131	0	0	0	0	0	0
VWC2L	0	0	0	0	0	0
LOC123328573	0	0	0	0	0	0
BARD1	150	134	252	16	12	26
LOC112582922	4	0	2	0	0	0
ABCA12	0	12	2	0	0	0
LOC102408236	0	0	0	0	0	0
ATIC	780	756	541	405	322	442
FN1	86018	33582	8493	191671	144081	237866
MREG	13	4	14	14	10	10
LOC112583120	0	0	0	0	0	0
PECR	71	184	138	138	191	59
TMEM169	9	4	2	0	0	0
XRCC5	508	258	482	222	136	288
MARCHF4	0	0	0	0	0	0
SMARCAL1	207	168	171	161	81	197
RPL37A	3203	4938	2119	6285	8684	3860
LOC123328577	0	0	0	0	0	0
IGFBP2	65	66	24	940	28	1817
IGFBP5	213	330	57	368	64	657
TRNAG-CCC_26	0	0	0	0	0	0
LOC102405884	0	0	0	0	0	2
TNP1	0	0	0	0	0	0
LOC123328580	0	0	0	0	0	0
TRNAC-ACA_26	0	0	0	0	0	0
TNS1	2893	1091	1542	6821	1047	12764
LOC123332180	0	0	1	5	0	5
RUFY4	0	0	0	2	2	1
CXCR2	0	2	4	50	8	92
LOC102401761	2	2	0	21	2	32
ARPC2	5664	6808	5329	1456	1385	1573
LOC112583103	59	25	202	241	257	210
GPBAR1	12	2	6	12	14	6
LOC102403384	449	720	427	410	294	489
PNKD	61	109	38	72	51	94
TMBIM1	2080	3980	1563	1719	983	2342
LOC112582927	0	0	0	0	0	2
LOC102406202	0	2	0	2	0	4
LOC112582928	0	0	0	0	0	1
SLC11A1	0	2	0	112	110	99
CTDSP1	675	653	334	464	271	610
VIL1	26	44	8	32	83	0
USP37	970	666	1058	568	275	835
CNOT9	244	227	228	158	105	157
PLCD4	90	8	70	22	7	37
ZNF142	356	204	202	125	58	196
LOC102395153	58	82	63	18	21	30
RNF25	94	74	83	92	71	117
STK36	77	70	47	55	34	90
TTLL4	269	234	169	158	75	230
LOC102408966	145	174	59	315	92	473
PRKAG3	4	3	10	17	26	13
WNT6	60	94	26	22	2	34
LOC112582929	0	0	0	0	0	0
WNT10A	0	0	0	0	0	2
LOC123332182	2	2	6	0	0	0
CDK5R2	0	0	0	4	0	8
FEV	0	0	0	0	0	0
LOC102405737	0	0	0	0	0	0
IHH	0	24	0	6	6	6
NHEJ1	70	100	62	25	14	27
SLC23A3	91	76	72	63	54	89
CNPPD1	460	489	304	161	87	244
RETREG2	525	617	433	570	421	742
ZFAND2B	120	115	105	91	73	103
ATG9A	445	673	395	223	128	344
ANKZF1	176	114	102	79	23	129
GLB1L	67	34	17	73	38	99
STK16	156	231	105	67	42	75
LOC102397626	24	48	6	485	721	345
LOC112583146	0	0	2	6	2	6
LOC102397197	0	4	0	8	24	2
LOC123332183	0	2	0	0	0	0
DNAJB2	243	237	182	163	114	249
PTPRN	14	38	7	12	18	6
RESP18	0	0	0	0	0	0
LOC102394254	155	220	97	111	95	115
DES	179	70	27	3451	107	6857
SPEG	69	46	25	508	96	913
SPEGNB	0	0	0	0	0	0
GMPPA	619	465	469	169	91	231
ASIC4	33	2	13	2	0	6
LOC123332185	2	1	2	0	0	0
CHPF	530	520	195	202	188	296
TMEM198	6	6	6	8	6	8
OBSL1	565	406	304	215	204	234
INHA	12	17	18	4	2	4
LOC102415246	187	113	67	57	31	70
SLC4A3	49	18	58	52	4	63
LOC112582933	0	0	0	0	0	0
EPHA4	640	503	384	645	81	1227
LOC123332186	8	4	27	12	11	26
LOC123328584	0	0	0	0	0	0
PAX3	0	0	0	0	0	0
LOC123332187	0	0	0	0	0	0
LOC123332189	0	0	0	0	0	0
LOC123332190	0	0	0	2	0	2
LOC123332188	0	0	0	0	0	0
SGPP2	4	1	0	19	10	25
LOC123332192	0	0	0	0	0	0
LOC123332191	0	0	0	0	2	0
LOC123332193	0	0	0	0	0	0
FARSB	620	859	537	321	251	431
LOC102409738	2	0	0	2	2	0
MOGAT1	1167	1714	947	18	33	4
ACSL3	802	1065	811	949	844	1067
KCNE4	38	51	1	12	16	19
LOC112583133	0	0	0	0	0	0
SCG2	2	0	0	2	0	6
AP1S3	111	172	116	283	430	113
WDFY1	791	682	672	1436	1063	1665
MRPL44	157	198	121	96	125	97
SERPINE2	2924	2527	1985	1660	1769	1619
FAM124B	34	16	23	7	2	19
CUL3	1341	1282	1257	757	552	992
LOC123332194	0	0	0	0	0	0
LOC112578840	0	0	0	0	0	0
DOCK10	82	6	43	147	170	133
LOC123332195	0	0	0	0	0	0
NYAP2	0	0	0	0	0	0
LOC123328589	0	0	0	0	0	0
LOC112583125	0	0	0	0	0	0
LOC123332196	0	0	0	0	0	0
IRS1	352	296	154	190	99	240
LOC112582937	0	0	4	2	0	2
RHBDD1	158	144	127	210	186	252
LOC123332197	4	2	2	8	3	7
COL4A4	56	180	80	234	274	219
COL4A3	15	40	14	24	33	18
MFF	536	478	522	510	496	545
TM4SF20	1	0	4	6	6	0
LOC123332198	0	0	0	2	0	2
LOC123465472	86	128	35	119	163	93
AGFG1	633	621	579	695	652	651
TRNAY-GUA_12	0	0	0	0	0	0
LOC123328590	0	0	0	0	0	0
LOC123465473	0	0	0	0	2	0
LOC123465474	0	0	0	0	0	0
SLC19A3	501	706	489	26	18	30
LOC123464770	0	0	0	0	0	0
LOC123328591	0	0	0	0	0	0
LOC123328593	0	0	0	0	0	0
LOC123328595	0	0	0	0	0	0
CCL20	0	0	0	2	0	6
DAW1	0	0	2	0	0	0
LOC102410994	4	4	0	0	0	0
TRNAS-GGA_17	0	0	0	0	0	0
LOC123328596	0	0	0	0	0	0
PID1	271	57	75	134	156	70
DNER	10	2	2	0	0	0
LOC112583031	0	0	0	0	0	0
TRIP12	5924	4757	5580	2669	1538	3777
FBXO36	3	4	0	2	2	5
LOC123332199	21	15	3	6	6	7
LOC112583016	0	0	1	0	0	0
SLC16A14	18	6	21	22	6	34
LOC102405215	6	2	2	11	6	15
SP110	28	31	13	77	51	88
SP140	102	110	69	306	310	316
LOC112582941	0	0	0	0	0	0
LOC102401027	6	2	2	11	18	14
LOC102398746	38	39	33	142	113	182
CAB39	1299	1750	1265	919	893	1015
ITM2C	629	579	172	305	207	396
LOC112583154	0	0	0	0	0	0
GPR55	0	0	0	0	0	0
SPATA3	4	0	0	0	0	0
C2H2orf72	76	77	10	0	2	0
PSMD1	1407	1404	1156	669	386	925
HTR2B	51	15	68	14	10	21
ARMC9	80	53	33	58	37	83
LOC112583060	0	0	0	0	0	0
LOC123332200	1	0	0	2	2	0
TRNAG-CCC_27	0	0	0	0	0	0
B3GNT7	114	532	107	210	99	334
NCL	6605	5774	5520	3373	2160	4709
LOC112583072	24	8	49	91	99	67
LOC112583095	6	0	3	0	7	0
LOC112583087	9	0	2	2	8	0
TRNAE-UUC_22	0	0	0	0	0	0
LOC102400360	2	0	2	0	0	0
NMUR1	6	4	4	2	0	6
TRNAG-CCC_28	0	0	0	0	0	0
TEX44	0	0	0	0	0	0
LOC102398506	21	12	6	4	4	12
LOC123332201	0	0	0	0	0	0
PTMA	7313	6427	6027	6366	4319	8779
LOC123332202	6	0	13	6	9	2
PDE6D	170	192	131	51	40	62
COPS7B	352	373	276	76	87	115
LOC123328602	0	0	0	0	0	0
NPPC	2660	3323	1664	0	0	0
DIS3L2	266	161	283	133	78	186
LOC102398139	3	1	0	0	0	0
LOC112582943	4	0	2	0	0	0
LOC102397824	4	1	0	0	0	0
LOC102403548	0	0	0	0	0	0
ECEL1	0	0	16	4	0	6
PRSS56	0	0	0	0	0	0
CHRND	0	0	2	0	0	0
LOC123332204	0	0	0	0	0	0
CHRNG	0	0	0	0	0	0
EIF4E2	483	452	345	369	227	464
LOC123332205	0	0	2	1	0	1
PHC2	610	797	465	619	271	921
A3GALT2	0	0	0	2	2	0
ZNF362	113	49	34	80	36	126
TRIM62	68	64	38	41	28	55
LOC112582945	0	0	2	2	2	2
AZIN2	0	2	1	0	2	0
LOC123328605	0	0	0	0	0	0
AK2	920	903	496	417	406	465
LOC112582946	26	4	79	34	20	38
LOC102390294	0	0	0	0	0	0
RNF19B	116	67	75	379	299	468
LOC123332206	3	0	0	0	2	0
TMEM54	132	202	113	8	10	8
HPCA	5	20	18	0	3	0
FNDC5	55	58	31	6	8	9
LOC102412905	660	574	628	437	327	613
YARS1	498	457	276	252	192	272
KIAA1522	889	1388	854	820	430	1277
LOC112582947	0	0	6	0	0	0
SYNC	101	95	86	80	73	93
RBBP4	1648	2205	1634	819	634	1002
ZBTB8OS	170	315	239	156	194	110
ZBTB8A	254	338	267	133	41	199
LOC102410373	44	83	56	6	4	6
ZBTB8B	42	11	27	6	6	4
BSDC1	475	472	400	351	198	512
TSSK3	16	10	24	12	2	14
FAM229A	2	8	0	10	8	12
MARCKSL1	1781	1713	914	445	400	449
HDAC1	1426	1346	1133	721	629	907
LCK	6	2	0	9	21	4
TRNAG-CCC_29	0	0	0	0	0	0
FAM167B	2	4	0	2	0	2
LOC102406142	15	40	8	47	37	44
TRNAE-UUC_23	0	0	0	0	0	0
EIF3I	819	1236	788	343	320	481
TMEM234	87	119	56	87	64	95
DCDC2B	6	2	2	2	0	7
IQCC	0	0	0	0	0	0
CCDC28B	20	25	13	20	5	32
TXLNA	752	689	542	286	91	450
KPNA6	2035	1894	1776	785	367	1138
LOC123332210	15	0	11	0	0	0
LOC112583128	1	0	2	0	0	2
TMEM39B	39	46	34	40	34	39
KHDRBS1	1307	1111	889	750	558	1048
PTP4A2	2679	2563	2420	1057	839	1342
TRNAG-GCC_12	0	0	0	0	0	0
LOC102399763	0	0	0	0	0	0
SPOCD1	2	0	2	2	2	6
ADGRB2	62	12	4	12	14	20
LOC112582951	0	1	0	1	0	1
COL16A1	1820	1415	173	628	513	710
PEF1	207	201	132	183	125	212
HCRTR1	9	16	17	9	2	19
TINAGL1	2571	3570	1985	1534	625	2544
LOC102401599	0	0	2	0	0	0
SERINC2	1039	1933	892	800	556	1064
FABP3	28	51	28	17	24	9
ZCCHC17	313	327	321	275	297	249
LOC112582953	50	6	31	3	3	2
SNRNP40	301	344	270	157	155	154
NKAIN1	12	48	6	6	16	3
PUM1	1782	1512	1658	1357	706	1955
TRNAC-ACA_27	5	0	18	3	0	3
LOC112583091	4	0	8	4	8	4
LOC112583088	3	2	3	0	0	0
LOC112583089	4	0	1	4	0	4
LOC123332213	0	0	0	8	8	0
SDC3	304	239	70	305	405	209
LAPTM5	252	128	86	547	924	135
MATN1	0	0	2	10	6	8
TRNAC-GCA_33	0	0	0	0	0	0
LOC112582954	0	0	0	0	0	0
PTPRU	189	176	190	248	99	393
MECR	106	89	60	45	14	60
LOC112583042	2	0	0	0	0	0
SRSF4	1136	706	916	717	470	991
TMEM200B	73	91	28	33	8	50
EPB41	4863	4134	5039	566	305	819
OPRD1	0	2	2	0	0	0
YTHDF2	1037	1028	884	543	562	513
LOC112583170	0	0	0	0	0	0
GMEB1	320	178	279	195	158	254
LOC112583115	18	30	110	60	77	42
TAF12	127	163	109	134	160	92
RAB42	2	18	10	2	0	2
LOC123332214	137	121	158	150	222	53
LOC112583093	7	0	12	5	9	1
LOC112583101	73	66	111	72	138	18
LOC112583109	51	65	37	84	141	7
LOC112583129	1	5	10	11	20	4
LOC102410372	179	109	101	70	77	67
RCC1	3998	4905	2903	74	61	89
TRNAG-UCC_16	5	1	3	0	0	1
LOC112582955	111	115	167	74	96	47
LOC112583070	314	526	355	992	1790	97
LOC112583071	258	237	133	727	1235	195
LOC112583069	224	352	256	571	1075	107
PHACTR4	620	449	440	433	334	464
LOC102405907	7	0	4	0	1	0
MED18	72	68	35	30	24	36
SESN2	321	371	167	36	32	55
LOC102408601	43	2	35	21	36	16
LOC123332215	2	0	2	0	0	0
ATP5IF1	602	516	287	499	519	482
DNAJC8	509	450	412	401	281	562
PTAFR	2	2	4	12	14	8
EYA3	1355	1306	1002	248	138	327
XKR8	24	31	18	14	10	18
LOC112582959	0	0	0	0	0	0
SMPDL3B	6	2	4	4	3	6
RPA2	273	312	243	168	191	125
THEMIS2	32	24	18	44	46	48
PPP1R8	277	279	225	168	170	186
LOC112583116	16	6	22	31	19	46
STX12	1187	1415	1429	425	322	585
FAM76A	409	370	336	145	102	201
IFI6	51	393	29	25	33	14
FGR	186	123	108	38	34	55
AHDC1	356	276	176	205	70	353
WASF2	2898	3093	2148	1352	749	1887
LOC123332218	5	1	15	9	8	5
LOC112583167	2	0	4	0	0	0
GPR3	0	0	2	3	2	1
CD164L2	2	8	0	0	0	0
FCN3	0	0	0	2	3	2
MAP3K6	27	31	32	105	46	197
SYTL1	14	10	5	122	72	146
TMEM222	166	154	86	33	29	61
WDTC1	966	567	773	244	130	387
SLC9A1	599	488	354	255	136	353
LOC102402569	10	6	9	21	15	30
TENT5B	75	123	10	728	436	1068
TRNP1	8	2	2	57	40	57
KDF1	63	67	50	52	34	64
NUDC	923	1069	608	727	458	981
NR0B2	0	0	0	0	0	0
GPATCH3	107	92	62	58	56	64
GPN2	78	64	34	40	32	38
SFN	501	1010	287	1422	1090	1682
ZDHHC18	143	125	141	89	77	101
LOC112582962	0	0	1	0	1	0
PIGV	149	97	123	55	46	67
ARID1A	3208	2229	2178	770	381	1125
LOC123332219	0	0	2	2	2	2
RPS6KA1	110	215	48	148	187	128
LOC123332223	0	0	0	2	2	0
LOC123332222	0	0	0	0	0	0
LOC112582964	0	4	4	6	6	2
HMGN2	466	452	320	191	183	272
DHDDS	371	272	231	94	51	156
LIN28A	0	2	0	0	0	0
CRYBG2	71	84	79	167	130	198
CD52	0	0	2	18	38	6
UBXN11	42	36	19	16	26	22
SH3BGRL3	1354	2221	618	1101	1047	1153
CEP85	187	117	181	35	16	65
LOC123328607	0	0	0	0	0	0
CATSPER4	2	2	16	14	18	0
CNKSR1	152	144	119	76	52	108
LOC123332226	2	1	2	5	3	5
ZNF593	84	49	28	42	49	44
C2H1orf232	4	0	2	1	0	1
FAM110D	28	8	10	10	0	19
PDIK1L	198	133	102	50	48	71
LOC123328610	0	0	0	0	0	0
TRIM63	0	6	0	2	0	6
SLC30A2	60	145	46	0	0	0
EXTL1	40	26	21	1	0	1
PAFAH2	196	203	121	54	50	62
STMN1	573	463	318	102	120	85
PAQR7	0	6	2	0	4	4
LOC102413238	26	18	18	19	6	29
MTFR1L	166	138	88	125	106	112
SELENON	463	323	125	476	284	653
MAN1C1	144	102	87	172	122	232
LOC123332227	10	0	0	0	0	0
TRNAG-CCC_30	0	0	2	0	0	0
LOC112582966	130	55	165	2	6	3
LOC112582967	161	38	191	8	4	16
LDLRAP1	894	987	765	352	166	544
MACO1	505	527	410	457	326	547
LOC123332228	0	0	0	2	2	0
LOC123332229	0	0	1	0	0	1
LOC102407754	31	79	20	1	5	0
TMEM50A	291	399	305	503	561	476
RSRP1	359	268	360	332	566	110
SYF2	213	226	210	306	301	338
RUNX3	0	0	1	35	74	6
LOC112582970	0	0	0	2	4	0
LOC112582971	0	0	0	33	47	26
CLIC4	3903	4633	3779	2731	1677	3812
TRNAC-ACA_28	10	1	2	3	0	4
LOC102396155	0	0	0	0	0	0
SRRM1	2695	1849	1959	1254	675	1852
TRNAE-UUC_24	0	0	2	0	2	0
LOC102403333	738	580	597	174	224	122
TRNAE-UUC_25	0	0	0	0	0	0
NIPAL3	463	318	341	285	176	425
LOC123465476	4	0	3	2	0	4
LOC112583118	0	0	0	0	0	0
STPG1	0	3	0	0	0	0
GRHL3	141	149	50	163	172	166
LOC123332230	8	2	9	6	0	6
LOC112582974	4	0	0	2	0	2
LOC123332231	1	0	0	0	2	0
IFNLR1	58	31	33	60	66	36
IL22RA1	0	0	0	10	18	16
MYOM3	28	34	9	23	53	2
LOC112583034	0	0	0	0	0	0
SRSF10	876	949	1213	390	222	479
PNRC2	1878	2351	1508	1588	1370	1869
LOC123332232	0	0	2	0	0	0
CNR2	139	208	140	0	0	0
LOC123332233	4	4	8	0	0	0
FUCA1	1169	1141	843	409	403	433
LOC112583160	0	0	0	0	0	0
HMGCL	258	187	176	114	72	115
GALE	119	185	58	122	86	182
LYPLA2	205	244	106	174	103	226
PITHD1	113	156	118	66	78	81
ELOA	1302	954	1273	546	430	778
TRNAE-UUC_26	3	0	2	4	5	0
RPL11	2927	4700	2478	2887	3509	2374
LOC123328612	0	0	0	0	0	0
LOC123328613	0	0	0	0	0	0
ID3	127	89	42	50	42	54
LOC112582977	0	0	6	2	4	2
E2F2	513	237	276	2	2	2
LOC123332235	0	2	3	0	0	0
ASAP3	1235	566	1251	186	95	255
LOC112583157	2	0	2	0	0	0
LOC102401607	16	6	10	0	0	0
TCEA3	7	0	18	6	10	6
LOC123332236	1	0	0	0	0	0
ZNF436	457	313	429	193	100	228
HNRNPR	1607	1523	1483	981	544	1442
TRNAV-CAC_5	0	0	0	0	0	0
HTR1D	0	0	0	0	0	0
LUZP1	1273	745	1135	766	301	1193
KDM1A	590	632	370	462	307	563
TEX46	0	0	0	0	0	0
LACTBL1	0	0	0	3	3	0
EPHB2	4	0	0	0	0	0
LOC123332237	0	0	0	0	0	0
C1QB	99	61	57	371	606	97
LOC102405428	2	0	0	6	6	8
C1QC	12	7	4	135	215	60
C1QA	116	79	46	352	521	129
LOC123332238	0	0	0	0	0	0
LOC123332239	0	0	0	0	0	0
EPHA8	0	0	0	0	0	0
ZBTB40	688	356	689	366	190	565
TRNAC-GCA_34	2	0	2	0	0	0
WNT4	325	317	366	448	416	428
LOC112583159	0	0	4	0	2	1
CDC42	3529	4116	2230	3184	3204	3259
LOC102404010	1476	1702	917	1481	1796	1131
LOC123332240	2	2	3	52	47	36
LOC102404335	0	0	0	0	0	0
LOC102405309	0	0	0	0	0	0
HSPG2	7672	7106	2636	5201	2036	8232
LDLRAD2	0	0	0	6	2	8
LOC123332241	4	1	4	0	0	0
USP48	2454	1813	2478	484	288	688
LOC112583138	3	2	1	0	0	0
LOC102392906	96	101	22	79	89	47
ALPL	504	219	260	4	11	16
LOC112583161	2	0	4	0	0	0
ECE1	1893	967	860	1294	306	2219
LOC123332242	14	0	4	8	2	18
LOC123332243	0	0	0	0	0	0
EIF4G3	2110	2330	2332	687	326	1062
HP1BP3	1182	937	1055	836	454	1208
SH2D5	34	0	14	88	4	145
KIF17	11	3	2	6	3	7
LOC123332244	0	0	0	0	0	0
TRNAG-GCC_13	0	0	0	0	0	0
DDOST	2667	3247	1595	1282	767	1958
PINK1	203	162	121	207	115	315
CDA	13	33	26	31	31	39
LOC123332245	0	0	4	0	0	0
LOC123332246	0	0	0	0	0	0
LOC123332247	0	0	0	0	0	0
FAM43B	0	2	0	0	0	0
LOC102399369	0	4	4	4	0	6
MUL1	185	199	110	70	49	85
LOC123464702	0	3	0	0	0	0
CAMK2N1	37	125	7	49	75	58
VWA5B1	2	0	0	2	2	2
UBXN10	0	2	0	4	2	2
PLA2G2C	2	0	0	0	2	2
PLA2G2F	0	0	0	0	0	0
LOC123332249	0	0	0	0	0	0
LOC102400731	0	0	0	0	0	0
PLA2G5	0	22	0	7	8	1
LOC102402444	0	0	0	0	0	0
LOC102402530	0	0	0	0	0	0
LOC102402999	0	0	0	0	0	0
LOC102402212	0	0	0	0	0	0
PLA2G2E	0	0	0	0	0	2
OTUD3	467	356	342	189	145	261
RNF186	0	0	0	0	0	0
TMCO4	151	107	118	95	65	112
HTR6	4	3	0	4	0	8
NBL1	158	108	99	236	51	430
MICOS10	771	791	398	465	541	335
LOC123332252	2	4	0	4	0	4
LOC123465479	0	0	1	0	0	0
LOC123465489	0	0	0	0	0	0
CAPZB	2565	2478	1600	1020	727	1338
LOC112582984	67	73	51	108	154	47
LOC123332253	50	31	36	11	0	17
SLC66A1	507	622	333	44	26	67
AKR7A2	91	119	42	48	32	46
LOC102410885	15	5	18	4	2	5
MRTO4	388	403	203	186	133	230
EMC1	1674	1732	1114	552	167	852
UBR4	6412	5319	4701	3067	1150	4734
LOC102409887	28	9	43	11	6	9
LOC112583142	0	0	0	0	0	0
IFFO2	76	44	38	146	92	179
ALDH4A1	68	129	28	79	68	85
TAS1R2	0	0	0	2	2	0
PAX7	0	0	0	0	0	0
KLHDC7A	87	32	0	133	165	139
LOC112582990	0	0	0	2	0	2
IGSF21	0	2	0	2	7	0
ACTL8	0	0	0	0	0	0
ARHGEF10L	749	799	428	259	101	432
LOC123332254	5	2	8	0	2	0
RCC2	1001	1016	652	215	91	344
PADI6	6	2	8	5	0	7
PADI4	4	25	2	2	10	6
PADI3	1	0	0	0	0	0
PADI1	6	14	10	4	4	2
PADI2	10	14	4	0	0	0
SDHB	402	408	257	430	479	417
ATP13A2	135	174	77	70	28	89
MFAP2	46	2	6	68	72	74
CROCC	156	62	107	202	93	334
NECAP2	458	471	257	325	178	457
LOC102415290	0	0	0	4	0	4
SPATA21	43	13	24	39	8	57
FBXO42	824	805	720	319	182	424
LOC112582991	2894	1979	3014	395	317	526
CPLANE2	51	35	34	102	61	134
ARHGEF19	22	10	19	16	20	14
TRNAR-ACG_12	0	0	1	0	0	0
EPHA2	473	316	345	448	341	541
